Year,Movie,Poster_URL,Genre,TMDb_Rating,TMDb_Vote_Count,Popularity_Score,Release_Date,Runtime_Minutes,Box_Office_USD,Director,Primary_Studio_or_Platform,Overview
2004,Harry Potter and the Prisoner of Azkaban,https://image.tmdb.org/t/p/w500/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,"Adventure, Fantasy",8.012,23643,43.7094,2004-05-31,141,789804554,Alfonso Cuarón,"Warner Bros. Pictures, 1492 Pictures, Heyday Films",Harry Potter's life is in danger once more as dangerous wizard Sirius Black has escaped from Azkaban Prison and is heading to Hogwarts.
2011,Harry Potter and the Deathly Hallows: Part 2,https://image.tmdb.org/t/p/w500/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,"Adventure, Fantasy",8.081,22443,41.6383,2011-07-12,130,1341511219,David Yates,"Warner Bros. Pictures, Heyday Films","Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills."
2002,Harry Potter and the Chamber of Secrets,https://image.tmdb.org/t/p/w500/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,"Adventure, Fantasy",7.7,24077,44.0376,2002-11-13,161,876688482,Chris Columbus,"Warner Bros. Pictures, Heyday Films, 1492 Pictures","Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione's magical abilities and courage."
2010,Harry Potter and the Deathly Hallows: Part 1,https://image.tmdb.org/t/p/w500/iGoXIpQb7Pot00EEdwpwPajheZ5.jpg,"Adventure, Fantasy",7.732,20799,37.8073,2010-11-17,146,954305868,David Yates,"Warner Bros. Pictures, Heyday Films","Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever."
2009,Harry Potter and the Half-Blood Prince,https://image.tmdb.org/t/p/w500/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,"Adventure, Fantasy",7.682,21192,35.2408,2009-07-15,153,933959197,David Yates,"Warner Bros. Pictures, Heyday Films",Dumbledore tries to prepare Harry for the final battle with Voldemort while Death Eaters wreak havoc in both Muggle and Wizard worlds.
2007,Harry Potter and the Order of the Phoenix,https://image.tmdb.org/t/p/w500/5aOyriWkPec0zUDxmHFP9qMmBaj.jpg,"Adventure, Fantasy",7.673,21227,33.3801,2007-07-08,138,938212738,David Yates,"Warner Bros. Pictures, Heyday Films","When a new professor's methods leave Hogwarts unprepared to fight the rising tide of evil, Harry teaches students how to defend against the dark arts."
2024,Red One,https://image.tmdb.org/t/p/w500/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg,"Action, Adventure, Comedy, Fantasy",6.96,3162,32.1031,2024-10-31,124,185700759,Jake Kasdan,"Seven Bucks Productions, The Detective Agency, Chris Morgan Productions","After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas."
2013,Iron Man 3,https://image.tmdb.org/t/p/w500/qhPtAc1TKbMPqNvcdXSOn9Bn7hZ.jpg,"Action, Adventure, Science Fiction",6.932,23877,30.6831,2013-04-18,130,1215577205,Shane Black,Marvel Studios,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
2016,The Conjuring 2,https://image.tmdb.org/t/p/w500/zEqyD0SBt6HL7W9JQoWwtd5Do1T.jpg,Horror,7.295,9405,24.5477,2016-06-08,134,322819915,James Wan,"New Line Cinema, The Safran Company, Atomic Monster",Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.
2002,Catch Me If You Can,https://image.tmdb.org/t/p/w500/ctjEj2xM32OvBXCq8zAdK3ZrsAj.jpg,"Drama, Crime",7.978,17556,27.0527,2002-12-16,141,352114312,Steven Spielberg,"Kemp Company, Splendid Pictures, DreamWorks Pictures","A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit."
