Year,Rank,Movie,Poster_URL,Genre,TMDb_Rating,TMDb_Vote_Count,Popularity_Score,Release_Date,Runtime_Minutes,Box_Office_USD,Director,Streaming_Original,Primary_Studio_or_Platform,Cult_Classic,Family_Friendly,Rewatchability_Score_10,Overview
1990,1,GoodFellas,https://image.tmdb.org/t/p/w500/9OkCLM73MIU2CrKZbqiT8Ln1wY2.jpg,"Drama, Crime",8.451,14693,30.2198,1990-09-12,145,47072327,Martin Scorsese,No,"Winkler Films, Warner Bros. Pictures",Yes,No,6,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway."
1990,2,Total Recall,https://image.tmdb.org/t/p/w500/wVbeL6fkbTKSmNfalj4VoAUUqJv.jpg,"Action, Adventure, Science Fiction",7.328,6650,20.9166,1990-06-01,113,261317921,Paul Verhoeven,No,"Carolco Pictures, Ronald Shusett/Gary Goldman Productions",No,Yes,6,"Construction worker Douglas Quaid's obsession with the planet Mars leads him to visit Rekall, a virtual vacation company that manufactures memories. When something goes wrong during Quaid's memory implant procedure, his life turns upside down, leading him to question what is reality and what isn't."
1990,3,The Godfather Part III,https://image.tmdb.org/t/p/w500/lm3pQ2QoQ16pextRsmnUbG2onES.jpg,"Crime, Drama, Thriller",7.419,7016,19.405,1990-12-25,162,136766062,Francis Ford Coppola,No,"Paramount Pictures, American Zoetrope",No,No,6,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing."
1990,4,Pretty Woman,https://image.tmdb.org/t/p/w500/hVHUfT801LQATGd26VPzhorIYza.jpg,"Romance, Comedy",7.443,9133,16.9612,1990-03-23,120,463406268,Garry Marshall,No,"Touchstone Pictures, Silver Screen Partners IV, Arnon Milchan Productions",No,No,6,"Vivian is a carefree, streetwise diamond in the rough when she meets sophisticated billionaire Edward in a chance encounter that turns into a week-long business arrangement. But Vivian's energetic spirit challenges Edward's no-nonsense approach to life, and soon they are teaching each other – and falling in love!"
1990,5,Back to the Future Part III,https://image.tmdb.org/t/p/w500/crzoVQnMzIrRfHtQw0tLBirNfVg.jpg,"Adventure, Comedy, Science Fiction",7.496,11765,22.8473,1990-05-25,119,244527583,Robert Zemeckis,No,"Universal Pictures, Amblin Entertainment",No,Yes,6,"The final installment finds Marty digging the trusty DeLorean out of a mineshaft and looking for Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen."
1990,6,The Hunt for Red October,https://image.tmdb.org/t/p/w500/yVl7zidse4KiWtGMqHFtZCx4X3N.jpg,"Action, Thriller",7.384,3728,19.6231,1990-03-02,135,200512643,John McTiernan,No,"Paramount Pictures, Mace Neufeld/Jerry Sherlock Productions",No,No,6,"A new technologically-superior Soviet nuclear sub, the Red October, is heading for the U.S. coast under the command of Captain Marko Ramius. The American government thinks Ramius is planning to attack. Lone CIA analyst Jack Ryan has a different idea: he thinks Ramius is planning to defect, but he has only a few hours to find him and prove it - because the entire Russian naval and air commands are trying to find Ramius, too. The hunt is on!"
1990,7,Dances with Wolves,https://image.tmdb.org/t/p/w500/hw0ZEHAaTqTxSXGVwUFX7uvanSA.jpg,"Adventure, Drama, Western",7.843,4800,19.6458,1990-11-09,181,424208848,Kevin Costner,No,"Tig Productions, Majestic Films International, Allied Filmmakers",No,Yes,6,"Wounded Civil War soldier John Dunbar tries to commit suicide—and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe."
1990,8,Edward Scissorhands,https://image.tmdb.org/t/p/w500/e0FqKFvGPdQNWG8tF9cZBtev9Em.jpg,"Fantasy, Drama, Romance",7.72,13995,13.9872,1990-12-07,105,86024005,Tim Burton,No,20th Century Fox,No,No,6,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.
1990,9,Ghost,https://image.tmdb.org/t/p/w500/w9RaPHov8oM5cnzeE27isnFMsvS.jpg,"Fantasy, Romance, Thriller",7.245,6176,13.0554,1990-07-13,127,505000000,Jerry Zucker,No,"Paramount Pictures, Howard W. Koch Productions",No,No,6,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic."
1990,10,Die Hard 2,https://image.tmdb.org/t/p/w500/ybki0UWO3OPhaM6MSniuKC7sy1R.jpg,"Action, Thriller",6.969,6557,14.5809,1990-07-03,124,240031094,Renny Harlin,No,"Gordon Company, Silver Pictures, 20th Century Fox",No,No,6,"One year after his heroics in Los Angeles, John McClane is an off-duty cop who is the wrong guy in the wrong place at the wrong time. On a snowy Christmas Eve, as he waits for his wife's plane to land at Washington Dulles International Airport, terrorists take over the air traffic control system in a plot to free a South American army general and drug smuggler being flown into the US to face drug charges. It's now up to McClane to take on the terrorists, while coping with an inept airport police chief, an uncooperative anti-terrorist squad, and the life of his wife and everyone else trapped in planes circling overhead."
